index_name,relation_name,uniqueness,status,sort_order,field_name,field_position
FK_ENFORCEMENT_2,ENFORCEMENT,NON_UNIQUE,ACTIVE,ASC,ENFORCEMENTTYPE_CT,0
IDX_ENFORCEMENT_LOCALTIN,ENFORCEMENT,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
PK_ENFORCEMENT_1,ENFORCEMENT,UNIQUE,ACTIVE,ASC,NOTICE_ID,0
PK_ESREREPORT_1,ESREREPORT,UNIQUE,ACTIVE,ASC,SRS_ID,0
FK_MANUALDEBIT_PROPERTY,MANUALDEBIT,NON_UNIQUE,ACTIVE,ASC,PROP_ID,0
FK_MANUALDEBIT_RPTASSESSMENT,MANUALDEBIT,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
IDX_MANUALDEBIT_TAXYEAR,MANUALDEBIT,NON_UNIQUE,ACTIVE,ASC,TAXYEAR,0
PK_MANUALDEBIT_1,MANUALDEBIT,UNIQUE,ACTIVE,ASC,MANUALDEBIT_ID,0
PK_MARRIAGELICENSE,MARRIAGELICENSE,UNIQUE,ACTIVE,ASC,MAR_ID,0
PK_MCHCHARGES_1,MCHCHARGES,UNIQUE,ACTIVE,ASC,MCHCHARGE_ID,0
PK_MCHDRIVER_1,MCHDRIVER,UNIQUE,ACTIVE,ASC,MCHDRIVER_ID,0
PK_MCHOFFENSE_ID,MCHOFFENSE,UNIQUE,ACTIVE,ASC,MCHOFFENSE_ID,0
PK_MCHOPERATOR_1,MCHOPERATOR,UNIQUE,ACTIVE,ASC,MCHOP_ID,0
FK_MCHREQUIREMENT_1,MCHREQUIREMENT,NON_UNIQUE,ACTIVE,ASC,REQUIREMENT_ID,0
PK_MCHREQUIREMENT_1,MCHREQUIREMENT,UNIQUE,ACTIVE,ASC,MCHREQ_ID,0
PK_MESSAGES,MESSAGES,UNIQUE,ACTIVE,ASC,MSGID,0
FK_PAYMENT_1,PAYMENT,NON_UNIQUE,ACTIVE,ASC,PAYMODE_CT,0
FK_PAYMENT_TAXPAYER,PAYMENT,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
FK_PAYMENT_TSTATUS,PAYMENT,NON_UNIQUE,ACTIVE,ASC,STATUS_CT,0
IDX_PAYMENT_LOCALTIN,PAYMENT,NON_UNIQUE,ACTIVE,ASC,LOCAL_TIN,0
IDX_PAYMENT_PAYMENTDATE,PAYMENT,NON_UNIQUE,ACTIVE,ASC,PAYMENTDATE,0
IDX_PAYMENT_RECEIPTNO,PAYMENT,NON_UNIQUE,ACTIVE,ASC,RECEIPTNO,0
IDX_PAYMENT_USERID,PAYMENT,NON_UNIQUE,ACTIVE,ASC,USERID,0
PK_PAYMENT_1,PAYMENT,UNIQUE,ACTIVE,ASC,PAYMENT_ID,0
PK_PAYMENTCHEQUE_1,PAYMENTCHEQUE,UNIQUE,ACTIVE,ASC,CHEQUE_ID,0
IDX_PAYCLASDETAIL_PAYMENT_ID,PAYMENTCLASSDETAIL,NON_UNIQUE,ACTIVE,ASC,PAYMENT_ID,0
IDX_PAYCLASSDETAIL_PROP,PAYMENTCLASSDETAIL,NON_UNIQUE,ACTIVE,ASC,TAXTRANS_ID,0
IDX_PAYMENTCLASSDETAILUSERID,PAYMENTCLASSDETAIL,NON_UNIQUE,ACTIVE,ASC,USERID,0
PK_PAYMENTCLASSDETAIL_1,PAYMENTCLASSDETAIL,UNIQUE,ACTIVE,ASC,PAYCLASSDETAIL_ID,0
FK_PAYMENTDETAIL_FUNDTYPE,PAYMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,FUNDTYPE_CT,0
FK_PAYMENTDETAIL_PAYMENT,PAYMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,PAYMENT_ID,0
IDX_PAYMENTDETAILUSERID,PAYMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,USERID,0
IDX_PAYMENTDETAIL_DEBIT,PAYMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,DEBITPOSTINGID,0
IDX_PAYMENTDETAIL_PAYID,PAYMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,PAYMENT_ID,0
IDX_PAYMENTDETAIL_SRC,PAYMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,SOURCE_CT,0
IDX_PAYMENTDETAIL_SRCID,PAYMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,SOURCEID,0
IDX_PAYMENTDETAIL_USERID,PAYMENTDETAIL,NON_UNIQUE,ACTIVE,ASC,USERID,0
