constraint_name,relation_name,index_name,field_name,field_position,referenced_constraint,referenced_relation,referenced_field,update_rule,delete_rule
FK_RPTMACHAPP_RPTASSMNT,RPTMACHAPPRAISAL,FK_RPTMACHAPP_RPTASSMNT,TAXTRANS_ID,0,PK_RPTASSESSMENT_1,RPTASSESSMENT,TAXTRANS_ID,RESTRICT,RESTRICT
FK_RPTPLANTTREEAPP_PLNTTREE,RPTPLANTTREEAPPRAISAL,FK_RPTPLANTTREEAPP_PLNTTREE,PLANT_CT,0,PK_T_PLANTTREE_1,T_PLANTTREE,CODE,RESTRICT,RESTRICT
FK_RPTTRANSACTION_PROPERTY01,RPTTRANSACTION,FK_RPTTRANSACTION_PROPERTY01,OLDPROP_ID,0,PK_PROPERTY_1,PROPERTY,PROP_ID,RESTRICT,RESTRICT
FK_RPTTRANSACTION_PROPERTY02,RPTTRANSACTION,FK_RPTTRANSACTION_PROPERTY02,NEWPROP_ID,0,PK_PROPERTY_1,PROPERTY,PROP_ID,RESTRICT,RESTRICT
FK_RPTTRANSACTION_RPTASS02,RPTTRANSACTION,FK_RPTTRANSACTION_RPTASS02,NEWTAXTRANS_ID,0,PK_RPTASSESSMENT_1,RPTASSESSMENT,TAXTRANS_ID,RESTRICT,RESTRICT
FK_RPTTRANSACTION_RPTASSM,RPTTRANSACTION,FK_RPTTRANSACTION_RPTASSM,OLDTAXTRANS_ID,0,PK_RPTASSESSMENT_1,RPTASSESSMENT,TAXTRANS_ID,RESTRICT,RESTRICT
FK_RPTTRANSACTION_TRPTRANS,RPTTRANSACTION,FK_RPTTRANSACTION_TRPTRANS,TRANSCODE_CT,0,PK_T_RPTTRANSACTION_1,T_RPTTRANSACTION,CODE,RESTRICT,RESTRICT
FK_TAXCLEARANCE_TAXPAYER,TAXCLEARANCE,FK_TAXCLEARANCE_TAXPAYER,LOCAL_TIN,0,PK_TAXPAYER_1,TAXPAYER,LOCAL_TIN,RESTRICT,RESTRICT
FK_TAXPAYER_COUNTRY,TAXPAYER,FK_TAXPAYER_COUNTRY,COUNTRY_CT,0,PK_T_COUNTRY_1,T_COUNTRY,CODE,RESTRICT,RESTRICT
FK_TAXPAYERDETAIL_1,TAXPAYERDETAIL,FK_TAXPAYERDETAIL_1,TAXPAYERDETAILGROUP_CT,0,PK_T_TAXPAYERDETAILGROUP_1,T_TAXPAYERDETAILGROUP,CODE,RESTRICT,RESTRICT
FK_TPACCOUNT_ACCNTCD,TPACCOUNT,FK_TPACCOUNT_ACCNTCD,ACCOUNTCODE_CT,0,PK_T_ACCOUNTCODE_1,T_ACCOUNTCODE,CODE,RESTRICT,RESTRICT
FK_TPACCOUNT_EARMARK,TPACCOUNT,FK_TPACCOUNT_EARMARK,EARMARK_CT,0,PK_T_EARMARK_1,T_EARMARK,CODE,RESTRICT,RESTRICT
FK_TPACCOUNT_MUNCPLTY,TPACCOUNT,FK_TPACCOUNT_MUNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_TPACCOUNT_TAXPAYER,TPACCOUNT,FK_TPACCOUNT_TAXPAYER,LOCAL_TIN,0,PK_TAXPAYER_1,TAXPAYER,LOCAL_TIN,RESTRICT,RESTRICT
FK_TPACCOUNT_TXPRD,TPACCOUNT,FK_TPACCOUNT_TXPRD,TAXPERIOD_CT,0,PK_T_TAXPERIOD_1,T_TAXPERIOD,CODE,RESTRICT,RESTRICT
FK_TRANSSTATDET_1,TRANSACTIONSTATUSDETAIL,FK_TRANSSTATDET_1,TRANSSTAT_ID,0,PK_TRANSACTIONSTATUS_1,TRANSACTIONSTATUS,TRANSSTAT_ID,RESTRICT,RESTRICT
FK_TRANSSTATDET_PROPERTY,TRANSACTIONSTATUSDETAIL,FK_TRANSSTATDET_PROPERTY,PROP_ID,0,PK_PROPERTY_1,PROPERTY,PROP_ID,RESTRICT,RESTRICT
FK_TRANSSTATDET_RPTASSM,TRANSACTIONSTATUSDETAIL,FK_TRANSSTATDET_RPTASSM,TAXTRANS_ID,0,PK_RPTASSESSMENT_1,RPTASSESSMENT,TAXTRANS_ID,RESTRICT,RESTRICT
FK_TRANSSTATDET_RPTTRANS,TRANSACTIONSTATUSDETAIL,FK_TRANSSTATDET_RPTTRANS,RPTTRANSACTION_ID,0,PK_RPTTRANSACTION_1,RPTTRANSACTION,RPTTRANSACTION_ID,RESTRICT,RESTRICT
FK_TRANSSTATDET_TAXPAYER,TRANSACTIONSTATUSDETAIL,FK_TRANSSTATDET_TAXPAYER,LOCAL_TIN,0,PK_TAXPAYER_1,TAXPAYER,LOCAL_TIN,RESTRICT,RESTRICT
FK_TRANSSTATREM_1,TRANSACTIONSTATUSREMARK,FK_TRANSSTATREM_1,TRANSSTAT_ID,0,PK_TRANSACTIONSTATUS_1,TRANSACTIONSTATUS,TRANSSTAT_ID,RESTRICT,RESTRICT
FK_ACTUALUSE_MNCPLTY,T_ACTUALUSE,FK_ACTUALUSE_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_T_ASSMLVL_MNCPLTY,T_ASSESSMENTLEVEL,FK_T_ASSMLVL_MNCPLTY,MUNICIPAL_ID,0,PK_T_MUNICIPALITY_1,T_MUNICIPALITY,MUNICIPAL_ID,RESTRICT,RESTRICT
FK_T_ASSMLVL_PROPKIND,T_ASSESSMENTLEVEL,FK_T_ASSMLVL_PROPKIND,PROPERTYKIND_CT,0,PK_T_PROPERTYKIND_1,T_PROPERTYKIND,CODE,RESTRICT,RESTRICT
