trigger_name,relation_name,trigger_event,status
HIS_TBLDGCLASS_UPD,T_BLDGCLASS,AFTER UPDATE,ACTIVE
TD_T_BLDGCLASS,T_BLDGCLASS,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBLDGCOMPONENT_DEL,T_BLDGCOMPONENT,AFTER DELETE,ACTIVE
HIS_TBLDGCOMPONENT_INS,T_BLDGCOMPONENT,AFTER INSERT,ACTIVE
HIS_TBLDGCOMPONENT_UPD,T_BLDGCOMPONENT,AFTER UPDATE,ACTIVE
TD_T_BLDGCOMPONENT,T_BLDGCOMPONENT,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBLDGEXTRAITEM_DEL,T_BLDGEXTRAITEM,AFTER DELETE,ACTIVE
HIS_TBLDGEXTRAITEM_INS,T_BLDGEXTRAITEM,AFTER INSERT,ACTIVE
HIS_TBLDGEXTRAITEM_UPD,T_BLDGEXTRAITEM,AFTER UPDATE,ACTIVE
TD_T_VLDGEXTRAITEM,T_BLDGEXTRAITEM,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBLDGKIND_DEL,T_BLDGKIND,AFTER DELETE,ACTIVE
HIS_TBLDGKIND_INS,T_BLDGKIND,AFTER INSERT,ACTIVE
HIS_TBLDGKIND_UPD,T_BLDGKIND,AFTER UPDATE,ACTIVE
TD_T_BLDGKIND,T_BLDGKIND,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBLDGMATERIAL_DEL,T_BLDGMATERIAL,AFTER DELETE,ACTIVE
HIS_TBLDGMATERIAL_INS,T_BLDGMATERIAL,AFTER INSERT,ACTIVE
HIS_TBLDGMATERIAL_UPD,T_BLDGMATERIAL,AFTER UPDATE,ACTIVE
TD_T_BLDGMATERIAL,T_BLDGMATERIAL,BEFORE INSERT OR UPDATE,ACTIVE
TD_T_BLDGMATERIALCHECKLIST,T_BLDGMATERIALCHECKLIST,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBLDGSTRUCTURETYPE_DEL,T_BLDGSTRUCTURETYPE,AFTER DELETE,ACTIVE
HIS_TBLDGSTRUCTURETYPE_INS,T_BLDGSTRUCTURETYPE,AFTER INSERT,ACTIVE
HIS_TBLDGSTRUCTURETYPE_UPD,T_BLDGSTRUCTURETYPE,AFTER UPDATE,ACTIVE
TD_T_BLDDGSTRUCTURETYPE,T_BLDGSTRUCTURETYPE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBPADDONCHARGES_DEL,T_BPADDONCHARGES,AFTER DELETE,ACTIVE
HIS_TBPADDONCHARGES_INS,T_BPADDONCHARGES,AFTER INSERT,ACTIVE
HIS_TBPADDONCHARGES_UPD,T_BPADDONCHARGES,AFTER UPDATE,ACTIVE
TD_T_BPADDONCHARGES,T_BPADDONCHARGES,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBPCATEGORY_DEL,T_BPCATEGORY,AFTER DELETE,ACTIVE
HIS_TBPCATEGORY_INS,T_BPCATEGORY,AFTER INSERT,ACTIVE
HIS_TBPCATEGORY_UPD,T_BPCATEGORY,AFTER UPDATE,ACTIVE
TD_T_BPCATEGORY,T_BPCATEGORY,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBPCATEGORYGROUP_DEL,T_BPCATEGORYGROUP,AFTER DELETE,ACTIVE
HIS_TBPCATEGORYGROUP_INS,T_BPCATEGORYGROUP,AFTER INSERT,ACTIVE
HIS_TBPCATEGORYGROUP_UPD,T_BPCATEGORYGROUP,AFTER UPDATE,ACTIVE
TD_T_BPCATEGORYGROUP,T_BPCATEGORYGROUP,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBPCLEARANCE_DEL,T_BPCLEARANCE,AFTER DELETE,ACTIVE
HIS_TBPCLEARANCE_INS,T_BPCLEARANCE,AFTER INSERT,ACTIVE
HIS_TBPCLEARANCE_UPD,T_BPCLEARANCE,AFTER UPDATE,ACTIVE
TD_T_BPCLEARANCE,T_BPCLEARANCE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBPRATES_DEL,T_BPRATES,AFTER DELETE,ACTIVE
HIS_TBPRATES_INS,T_BPRATES,AFTER INSERT,ACTIVE
HIS_TBPRATES_UPD,T_BPRATES,AFTER UPDATE,ACTIVE
TD_T_BPRATES,T_BPRATES,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBPSTATUS_DEL,T_BPSTATUS,AFTER DELETE,ACTIVE
HIS_TBPSTATUS_INS,T_BPSTATUS,AFTER INSERT,ACTIVE
HIS_TBPSTATUS_UPD,T_BPSTATUS,AFTER UPDATE,ACTIVE
TD_T_BPSTATUS,T_BPSTATUS,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TBUILDINGNAMES_DEL,T_BUILDINGNAMES,AFTER DELETE,ACTIVE
HIS_TBUILDINGNAMES_INS,T_BUILDINGNAMES,AFTER INSERT,ACTIVE
HIS_TBUILDINGNAMES_UPD,T_BUILDINGNAMES,AFTER UPDATE,ACTIVE
TD_T_BUILDINGNAMES,T_BUILDINGNAMES,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TCASETYPE_DEL,T_CASETYPE,AFTER DELETE,ACTIVE
HIS_TCASETYPE_INS,T_CASETYPE,AFTER INSERT,ACTIVE
HIS_TCASETYPE_UPD,T_CASETYPE,AFTER UPDATE,ACTIVE
TD_T_CASETYPE,T_CASETYPE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TCLASSIFICATION_DEL,T_CLASSIFICATION,AFTER DELETE,ACTIVE
HIS_TCLASSIFICATION_INS,T_CLASSIFICATION,AFTER INSERT,ACTIVE
HIS_TCLASSIFICATION_UPD,T_CLASSIFICATION,AFTER UPDATE,ACTIVE
TD_T_CLASSIFICATION,T_CLASSIFICATION,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TCLASSLEVEL_DEL,T_CLASSLEVEL,AFTER DELETE,ACTIVE
HIS_TCLASSLEVEL_INS,T_CLASSLEVEL,AFTER INSERT,ACTIVE
HIS_TCLASSLEVEL_UPD,T_CLASSLEVEL,AFTER UPDATE,ACTIVE
TD_T_CLASSLEVEL,T_CLASSLEVEL,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TCOUNTRY_DEL,T_COUNTRY,AFTER DELETE,ACTIVE
HIS_TCOUNTRY_INS,T_COUNTRY,AFTER INSERT,ACTIVE
HIS_TCOUNTRY_UPD,T_COUNTRY,AFTER UPDATE,ACTIVE
TD_T_COUNTRY,T_COUNTRY,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TCTCRATE_DEL,T_CTCRATE,AFTER DELETE,ACTIVE
HIS_TCTCRATE_INS,T_CTCRATE,AFTER INSERT,ACTIVE
HIS_TCTCRATE_UPD,T_CTCRATE,AFTER UPDATE,ACTIVE
HIS_TDENOMINATION_DEL,T_DENOMINATION,AFTER DELETE,ACTIVE
HIS_TDENOMINATION_INS,T_DENOMINATION,AFTER INSERT,ACTIVE
HIS_TDENOMINATION_UPD,T_DENOMINATION,AFTER UPDATE,ACTIVE
TD_T_DENOMINATION,T_DENOMINATION,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TDISCOUNT_DEL,T_DISCOUNT,AFTER DELETE,ACTIVE
HIS_TDISCOUNT_INS,T_DISCOUNT,AFTER INSERT,ACTIVE
HIS_TDISCOUNT_UPD,T_DISCOUNT,AFTER UPDATE,ACTIVE
TD_T_DISCOUNT,T_DISCOUNT,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TEARMARK_DEL,T_EARMARK,AFTER DELETE,ACTIVE
HIS_TEARMARK_INS,T_EARMARK,AFTER INSERT,ACTIVE
HIS_TEARMARK_UPD,T_EARMARK,AFTER UPDATE,ACTIVE
TD_T_EARMARK,T_EARMARK,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TENFORCEMENTSTATUS_DEL,T_ENFORCEMENTSTATUS,AFTER DELETE,ACTIVE
HIS_TENFORCEMENTSTATUS_INS,T_ENFORCEMENTSTATUS,AFTER INSERT,ACTIVE
HIS_TENFORCEMENTSTATUS_UPD,T_ENFORCEMENTSTATUS,AFTER UPDATE,ACTIVE
TD_T_ENFORCEMENTSTATUS,T_ENFORCEMENTSTATUS,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TENFORCEMENTTYPE_DEL,T_ENFORCEMENTTYPE,AFTER DELETE,ACTIVE
HIS_TENFORCEMENTTYPE_INS,T_ENFORCEMENTTYPE,AFTER INSERT,ACTIVE
HIS_TENFORCEMENTTYPE_UPD,T_ENFORCEMENTTYPE,AFTER UPDATE,ACTIVE
TD_T_ENFORCEMENTTYPE,T_ENFORCEMENTTYPE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TEVENTOBJECT_DEL,T_EVENTOBJECT,AFTER DELETE,ACTIVE
HIS_TEVENTOBJECT_INS,T_EVENTOBJECT,AFTER INSERT,ACTIVE
HIS_TEVENTOBJECT_UPD,T_EVENTOBJECT,AFTER UPDATE,ACTIVE
TD_T_EVENTOBJECT,T_EVENTOBJECT,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TEXCHANGERATE_DEL,T_EXCHANGERATE,AFTER DELETE,ACTIVE
HIS_TEXCHANGERATE_INS,T_EXCHANGERATE,AFTER INSERT,ACTIVE
HIS_TEXCHANGERATE_UPD,T_EXCHANGERATE,AFTER UPDATE,ACTIVE
TD_T_EXCHANGERATE,T_EXCHANGERATE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TITAXTYPE_DEL,T_ITAXTYPE,AFTER DELETE,ACTIVE
HIS_TITAXTYPE_INS,T_ITAXTYPE,AFTER INSERT,ACTIVE
HIS_TITAXTYPE_UPD,T_ITAXTYPE,AFTER UPDATE,ACTIVE
TD_T_ITAXTYPE,T_ITAXTYPE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TITAXTYPEGROUP_DEL,T_ITAXTYPEGROUP,AFTER DELETE,ACTIVE
HIS_TITAXTYPEGROUP_INS,T_ITAXTYPEGROUP,AFTER INSERT,ACTIVE
HIS_TITAXTYPEGROUP_UPD,T_ITAXTYPEGROUP,AFTER UPDATE,ACTIVE
TD_T_ITAXTYPEGROUP,T_ITAXTYPEGROUP,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TITAXTYPESUBGROUP_DEL,T_ITAXTYPESUBGROUP,AFTER DELETE,ACTIVE
HIS_TITAXTYPESUBGROUP_INS,T_ITAXTYPESUBGROUP,AFTER INSERT,ACTIVE
HIS_TITAXTYPESUBGROUP_UPD,T_ITAXTYPESUBGROUP,AFTER UPDATE,ACTIVE
TD_T_ITAXTYPESUBGROUP,T_ITAXTYPESUBGROUP,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TMACHINECONDITION_DEL,T_MACHINECONDITION,AFTER DELETE,ACTIVE
HIS_TMACHINECONDITION_INS,T_MACHINECONDITION,AFTER INSERT,ACTIVE
HIS_TMACHINECONDITION_UPD,T_MACHINECONDITION,AFTER UPDATE,ACTIVE
TD_T_MACHINECONDITION,T_MACHINECONDITION,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TMACHINEGROUP_DEL,T_MACHINEGROUP,AFTER DELETE,ACTIVE
HIS_TMACHINEGROUP_INS,T_MACHINEGROUP,AFTER INSERT,ACTIVE
HIS_TMACHINEGROUP_UPD,T_MACHINEGROUP,AFTER UPDATE,ACTIVE
TD_T_MACHINEGROUP,T_MACHINEGROUP,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TMACHINETYPE_DEL,T_MACHINETYPE,AFTER DELETE,ACTIVE
HIS_TMACHINETYPE_INS,T_MACHINETYPE,AFTER INSERT,ACTIVE
HIS_TMACHINETYPE_UPD,T_MACHINETYPE,AFTER UPDATE,ACTIVE
TD_T_MACHINETYPE,T_MACHINETYPE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TMAPTYPE_DEL,T_MAPTYPE,AFTER DELETE,ACTIVE
HIS_TMAPTYPE_INS,T_MAPTYPE,AFTER INSERT,ACTIVE
HIS_TMAPTYPE_UPD,T_MAPTYPE,AFTER UPDATE,ACTIVE
TD_T_MCHCITATION,T_MCHCITATION,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TMCHFRANCHISESCHEDULE_DEL,T_MCHFRANCHISESCHEDULE,AFTER DELETE,ACTIVE
HIS_TMCHFRANCHISESCHEDULE_INS,T_MCHFRANCHISESCHEDULE,AFTER INSERT,ACTIVE
HIS_TMCHFRANCHISESCHEDULE_UPD,T_MCHFRANCHISESCHEDULE,AFTER UPDATE,ACTIVE
HIS_TMCHRATE_DEL,T_MCHRATE,AFTER DELETE,ACTIVE
HIS_TMCHRATE_INS,T_MCHRATE,AFTER INSERT,ACTIVE
HIS_TMCHRATE_UPD,T_MCHRATE,AFTER UPDATE,ACTIVE
HIS_TMCHREQUIREMENT_DEL,T_MCHREQUIREMENT,AFTER DELETE,ACTIVE
HIS_TMCHREQUIREMENT_INS,T_MCHREQUIREMENT,AFTER INSERT,ACTIVE
HIS_TMCHREQUIREMENT_UPD,T_MCHREQUIREMENT,AFTER UPDATE,ACTIVE
HIS_TMCHTYPE_DEL,T_MCHTYPE,AFTER DELETE,ACTIVE
HIS_TMCHTYPE_INS,T_MCHTYPE,AFTER INSERT,ACTIVE
HIS_TMCHTYPE_UPD,T_MCHTYPE,AFTER UPDATE,ACTIVE
HIS_TMETERREADER_DEL,T_METERREADER,AFTER DELETE,ACTIVE
HIS_TMETERREADER_INS,T_METERREADER,AFTER INSERT,ACTIVE
HIS_TMETERREADER_UPD,T_METERREADER,AFTER UPDATE,ACTIVE
TD_T_METERREADER,T_METERREADER,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TMUNICIPALITY_DEL,T_MUNICIPALITY,AFTER DELETE,ACTIVE
HIS_TMUNICIPALITY_INS,T_MUNICIPALITY,AFTER INSERT,ACTIVE
HIS_TMUNICIPALITY_UPD,T_MUNICIPALITY,AFTER UPDATE,ACTIVE
TD_T_MUNICIPALITY,T_MUNICIPALITY,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TOTHERPAYMENTRATE_DEL,T_OTHERPAYMENTRATE,AFTER DELETE,ACTIVE
HIS_TOTHERPAYMENTRATE_INS,T_OTHERPAYMENTRATE,AFTER INSERT,ACTIVE
HIS_TOTHERPAYMENTRATE_UPD,T_OTHERPAYMENTRATE,AFTER UPDATE,ACTIVE
TD_TOTHERPAYMENTRATE,T_OTHERPAYMENTRATE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TOWNERTYPE_DEL,T_OWNERTYPE,AFTER DELETE,ACTIVE
HIS_TOWNERTYPE_INS,T_OWNERTYPE,AFTER INSERT,ACTIVE
HIS_TOWNERTYPE_UPD,T_OWNERTYPE,AFTER UPDATE,ACTIVE
TD_T_OWNERTYPE,T_OWNERTYPE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TPAYMODE_DEL,T_PAYMODE,AFTER DELETE,ACTIVE
HIS_TPAYMODE_INS,T_PAYMODE,AFTER INSERT,ACTIVE
HIS_TPAYMODE_UPD,T_PAYMODE,AFTER UPDATE,ACTIVE
TD_T_PAYMODE,T_PAYMODE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TPAYPERIOD_DEL,T_PAYPERIOD,AFTER DELETE,ACTIVE
HIS_TPAYPERIOD_INS,T_PAYPERIOD,AFTER INSERT,ACTIVE
HIS_TPAYPERIOD_UPD,T_PAYPERIOD,AFTER UPDATE,ACTIVE
TD_T_PAYPERIOD,T_PAYPERIOD,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TPENALTYINTERESTPARAM_DEL,T_PENALTYINTERESTPARAM,AFTER DELETE,ACTIVE
HIS_TPENALTYINTERESTPARAM_INS,T_PENALTYINTERESTPARAM,AFTER INSERT,ACTIVE
HIS_TPENALTYINTERESTPARAM_UPD,T_PENALTYINTERESTPARAM,AFTER UPDATE,ACTIVE
TD_T_PENALTYINTERESTPARAM,T_PENALTYINTERESTPARAM,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TPLANTTREE_DEL,T_PLANTTREE,AFTER DELETE,ACTIVE
HIS_TPLANTTREE_INS,T_PLANTTREE,AFTER INSERT,ACTIVE
HIS_TPLANTTREE_UPD,T_PLANTTREE,AFTER UPDATE,ACTIVE
TD_T_PLANTTREE,T_PLANTTREE,BEFORE INSERT OR UPDATE,ACTIVE
HIS_TPROPERTYKIND_DEL,T_PROPERTYKIND,AFTER DELETE,ACTIVE
